"ligand_symbol","ligand_ENSG","receptor_symbol","receptor_ENSG"
"A2M","ENSG00000175899","LRP1","ENSG00000123384"
"ACE","ENSG00000159640","AGTR2","ENSG00000180772"
"ACE","ENSG00000159640","BDKRB2","ENSG00000168398"
"ADAM12","ENSG00000148848","ITGA9","ENSG00000291488"
"ADAM12","ENSG00000148848","ITGA9","ENSG00000144668"
"ADAM12","ENSG00000148848","ITGB1","ENSG00000150093"
"ADAM12","ENSG00000148848","SDC4","ENSG00000124145"
"ADAM28","ENSG00000042980","ITGA4","ENSG00000115232"
"ADAM9","ENSG00000168615","ITGA3","ENSG00000005884"
"ADAM9","ENSG00000168615","ITGA6","ENSG00000091409"
"ADAM9","ENSG00000168615","ITGAV","ENSG00000138448"
"ADAM9","ENSG00000168615","ITGB1","ENSG00000150093"
"ADAM9","ENSG00000168615","ITGB5","ENSG00000082781"
"ADCYAP1","ENSG00000141433","ADCYAP1R1","ENSG00000078549"
"ADCYAP1","ENSG00000141433","SCTR","ENSG00000080293"
"ADCYAP1","ENSG00000141433","VIPR1","ENSG00000114812"
"ADCYAP1","ENSG00000141433","VIPR2","ENSG00000106018"
"ADIPOQ","ENSG00000181092","ADIPOR1","ENSG00000159346"
"ADIPOQ","ENSG00000181092","ADIPOR2","ENSG00000285070"
"ADIPOQ","ENSG00000181092","ADIPOR2","ENSG00000006831"
"ADM2","ENSG00000128165","CALCR","ENSG00000004948"
"ADM2","ENSG00000128165","CALCRL","ENSG00000064989"
"ADM2","ENSG00000128165","RAMP1","ENSG00000132329"
"ADM","ENSG00000148926","CALCR","ENSG00000004948"
"ADM","ENSG00000148926","CALCRL","ENSG00000064989"
"ADM","ENSG00000148926","GPR182","ENSG00000166856"
"ADM","ENSG00000148926","MRGPRX2","ENSG00000183695"
"ADM","ENSG00000148926","RAMP2","ENSG00000131477"
"AGRN","ENSG00000188157","ATP1A3","ENSG00000105409"
"AGRN","ENSG00000188157","LRP4","ENSG00000134569"
"AGRN","ENSG00000188157","MUSK","ENSG00000030304"
"AGRP","ENSG00000159723","MC3R","ENSG00000124089"
"AGRP","ENSG00000159723","MC4R","ENSG00000166603"
"AGRP","ENSG00000159723","MC5R","ENSG00000176136"
"AGRP","ENSG00000159723","SDC3","ENSG00000162512"
"AGT","ENSG00000135744","AGTR1","ENSG00000144891"
"AGT","ENSG00000135744","AGTR2","ENSG00000180772"
"AGT","ENSG00000135744","LRP2","ENSG00000081479"
"AGT","ENSG00000135744","MAS1","ENSG00000130368"
"AHSG","ENSG00000145192","INSR","ENSG00000171105"
"ALB","ENSG00000163631","LRP2","ENSG00000081479"
"AMELX","ENSG00000125363","LAMP1","ENSG00000185896"
"AMELY","ENSG00000099721","LAMP1","ENSG00000185896"
"AMH","ENSG00000104899","ACVR1","ENSG00000115170"
"AMH","ENSG00000104899","AMHR2","ENSG00000135409"
"AMH","ENSG00000104899","EGFR","ENSG00000146648"
"ANGPT1","ENSG00000154188","ITGA5","ENSG00000161638"
"ANGPT1","ENSG00000154188","ITGB1","ENSG00000150093"
"ANGPT1","ENSG00000154188","TEK","ENSG00000120156"
"ANGPT1","ENSG00000154188","TIE1","ENSG00000066056"
"ANGPT2","ENSG00000091879","TEK","ENSG00000120156"
"ANGPT2","ENSG00000091879","TIE1","ENSG00000066056"
"ANGPT4","ENSG00000101280","TEK","ENSG00000120156"
"ANGPT4","ENSG00000101280","TIE1","ENSG00000066056"
"ANGPTL1","ENSG00000116194","TEK","ENSG00000120156"
"ANGPTL2","ENSG00000136859","TIE1","ENSG00000066056"
"ANGPTL3","ENSG00000132855","ITGA5","ENSG00000161638"
"ANGPTL3","ENSG00000132855","ITGAV","ENSG00000138448"
"ANGPTL3","ENSG00000132855","ITGB3","ENSG00000259207"
"ANGPTL4","ENSG00000167772","TIE1","ENSG00000066056"
"APLN","ENSG00000171388","APLNR","ENSG00000134817"
"APOB","ENSG00000084674","CALCR","ENSG00000004948"
"APOB","ENSG00000084674","ITGAM","ENSG00000169896"
"APOB","ENSG00000084674","ITGB2","ENSG00000160255"
"APOB","ENSG00000084674","LDLR","ENSG00000130164"
"APOB","ENSG00000084674","LRP2","ENSG00000081479"
"APOB","ENSG00000084674","LRP6","ENSG00000281324"
"APOB","ENSG00000084674","LRP6","ENSG00000070018"
"APOB","ENSG00000084674","LRP8","ENSG00000157193"
"APOB","ENSG00000084674","LSR","ENSG00000105699"
"APOB","ENSG00000084674","OLR1","ENSG00000173391"
"APOC3","ENSG00000110245","SDC2","ENSG00000169439"
"APOC3","ENSG00000110245","TLR2","ENSG00000137462"
