"","V1","V2","V3","V4","V5","V6","V7","V8"
"Sample_title","!Sample_batch","Sample_source_name_ch1","Sample_status","ID_REF","!Sample_geo_accession","!Sample_characteristics_ch1","!Sample_molecule_ch1","!Sample_taxid_ch1"
"C_0003",NA,"brain","CT","GSM1580870","GSM1580870","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0004",NA,"brain","CT","GSM1580871","GSM1580871","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0005",NA,"brain","CT","GSM1580872","GSM1580872","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0006",NA,"brain","CT","GSM1580873","GSM1580873","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0008",NA,"brain","CT","GSM1580874","GSM1580874","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0009",NA,"brain","CT","GSM1580875","GSM1580875","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0010",NA,"brain","CT","GSM1580876","GSM1580876","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0011",NA,"brain","CT","GSM1580877","GSM1580877","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0012",NA,"brain","CT","GSM1580878","GSM1580878","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0013",NA,"brain","CT","GSM1580879","GSM1580879","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0014",NA,"brain","CT","GSM1580880","GSM1580880","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0015",NA,"brain","CT","GSM1580881","GSM1580881","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0016",NA,"brain","CT","GSM1580882","GSM1580882","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0017",NA,"brain","CT","GSM1580883","GSM1580883","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0018",NA,"brain","CT","GSM1580884","GSM1580884","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0019",NA,"brain","CT","GSM1580885","GSM1580885","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0020",NA,"brain","CT","GSM1580886","GSM1580886","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0021",NA,"brain","CT","GSM1580887","GSM1580887","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0022",NA,"brain","CT","GSM1580888","GSM1580888","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0023",NA,"brain","CT","GSM1580889","GSM1580889","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0024",NA,"brain","CT","GSM1580890","GSM1580890","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0025",NA,"brain","CT","GSM1580891","GSM1580891","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0026",NA,"brain","CT","GSM1580892","GSM1580892","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0029",NA,"brain","CT","GSM1580893","GSM1580893","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0031",NA,"brain","CT","GSM1580894","GSM1580894","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0032",NA,"brain","CT","GSM1580895","GSM1580895","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0033",NA,"brain","CT","GSM1580896","GSM1580896","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0035",NA,"brain","CT","GSM1580897","GSM1580897","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0036",NA,"brain","CT","GSM1580898","GSM1580898","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0037",NA,"brain","CT","GSM1580899","GSM1580899","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0038",NA,"brain","CT","GSM1580900","GSM1580900","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0039",NA,"brain","CT","GSM1580901","GSM1580901","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0050",NA,"brain","CT","GSM1580902","GSM1580902","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0053",NA,"brain","CT","GSM1580903","GSM1580903","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0060",NA,"brain","CT","GSM1580904","GSM1580904","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0061",NA,"brain","CT","GSM1580905","GSM1580905","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0062",NA,"brain","CT","GSM1580906","GSM1580906","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0065",NA,"brain","CT","GSM1580907","GSM1580907","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0069",NA,"brain","CT","GSM1580908","GSM1580908","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0070",NA,"brain","CT","GSM1580909","GSM1580909","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0071",NA,"brain","CT","GSM1580910","GSM1580910","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0075",NA,"brain","CT","GSM1580911","GSM1580911","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0076",NA,"brain","CT","GSM1580912","GSM1580912","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0077",NA,"brain","CT","GSM1580913","GSM1580913","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0081",NA,"brain","CT","GSM1580914","GSM1580914","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0082",NA,"brain","CT","GSM1580915","GSM1580915","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0083",NA,"brain","CT","GSM1580916","GSM1580916","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"C_0087",NA,"brain","CT","GSM1580917","GSM1580917","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"H_0001",NA,"brain","HD","GSM1580918","GSM1580918","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"H_0002",NA,"brain","HD","GSM1580919","GSM1580919","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"H_0003",NA,"brain","HD","GSM1580920","GSM1580920","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"H_0005",NA,"brain","HD","GSM1580921","GSM1580921","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"H_0006",NA,"brain","HD","GSM1580922","GSM1580922","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"H_0007",NA,"brain","HD","GSM1580923","GSM1580923","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"H_0008",NA,"brain","HD","GSM1580924","GSM1580924","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"H_0009",NA,"brain","HD","GSM1580925","GSM1580925","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"H_0010",NA,"brain","HD","GSM1580926","GSM1580926","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"H_0012",NA,"brain","HD","GSM1580927","GSM1580927","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"H_0013",NA,"brain","HD","GSM1580928","GSM1580928","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"H_0539",NA,"brain","HD","GSM1580929","GSM1580929","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"H_0657",NA,"brain","HD","GSM1580930","GSM1580930","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"H_0658",NA,"brain","HD","GSM1580931","GSM1580931","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"H_0681",NA,"brain","HD","GSM1580932","GSM1580932","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"H_0695",NA,"brain","HD","GSM1580933","GSM1580933","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"H_0700",NA,"brain","HD","GSM1580934","GSM1580934","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"H_0726",NA,"brain","HD","GSM1580935","GSM1580935","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"H_0740",NA,"brain","HD","GSM1580936","GSM1580936","tissue: BA9 prefrontal cortex","polyA RNA","9606"
"H_0750",NA,"brain","HD","GSM1580937","GSM1580937","tissue: BA9 prefrontal cortex","polyA RNA","9606"
