sample_id,resorce,diseases,status,tissue,omic_type
1,GSM8133139,AD,AD,Post mortem brain,bulk_rna
2,GSM8133143,AD,AD,Post mortem brain,bulk_rna
3,GSM8133150,AD,AD,Post mortem brain,bulk_rna
4,GSM8133221,AD,CT,Post mortem brain,bulk_rna
5,GSM8133226,AD,CT,Post mortem brain,bulk_rna
6,GSM8133231,AD,CT,Post mortem brain,bulk_rna
7,GSM8343232,AD,CT,Blood,bulk_rna
8,GSM8343233,AD,CT,Blood,bulk_rna
9,GSM8343234,AD,CT,Blood,bulk_rna
10,GSM8343256,AD,AD,Blood,bulk_rna
11,GSM8343257,AD,AD,Blood,bulk_rna
12,GSM8343258,AD,AD,Blood,bulk_rna
13,GSM3172777,ALS,ALS,PBMC,bulk_rna
14,GSM3172778,ALS,ALS,PBMC,bulk_rna
15,GSM3172779,ALS,ALS,PBMC,bulk_rna
16,GSM3172780,ALS,ALS,PBMC,bulk_rna
17,GSM3172781,ALS,ALS,PBMC,bulk_rna
18,GSM3172782,ALS,ALS,PBMC,bulk_rna
19,GSM3172783,ALS,ALS,PBMC,bulk_rna
20,GSM3172784,ALS,CT,PBMC,bulk_rna
21,GSM3172785,ALS,CT,PBMC,bulk_rna
22,GSM3172786,ALS,CT,PBMC,bulk_rna
23,GSM3172787,ALS,CT,PBMC,bulk_rna
24,GSM8742351,ALS,CT,Cervical spinal cord,bulk_rna
25,GSM8742352,ALS,CT,Cervical spinal cord,bulk_rna
26,GSM8742353,ALS,CT,Cervical spinal cord,bulk_rna
27,GSM8742354,ALS,CT,Cervical spinal cord,bulk_rna
28,GSM8742355,ALS,ALS,Cervical spinal cord,bulk_rna
29,GSM8742356,ALS,ALS,Cervical spinal cord,bulk_rna
30,GSM8742357,ALS,ALS,Cervical spinal cord,bulk_rna
31,GSM8742358,ALS,ALS,Cervical spinal cord,bulk_rna
32,GSM8742359,ALS,ALS,Cervical spinal cord,bulk_rna
33,GSM8742360,ALS,ALS,Cervical spinal cord,bulk_rna
34,GSM8742361,ALS,ALS,Cervical spinal cord,bulk_rna
35,GSM8742362,ALS,ALS,Cervical spinal cord,bulk_rna
36,GSM7461691,ALS,ALS,Blood,bulk_rna
37,GSM7461692,ALS,ALS,Blood,bulk_rna
38,GSM7461693,ALS,ALS,Blood,bulk_rna
39,GSM7461694,ALS,ALS,Blood,bulk_rna
40,GSM7461695,ALS,ALS,Blood,bulk_rna
41,GSM7461787,ALS,CT,Blood,bulk_rna
42,GSM7461788,ALS,CT,Blood,bulk_rna
43,GSM7461789,ALS,CT,Blood,bulk_rna
44,GSM7461790,ALS,CT,Blood,bulk_rna
45,GSM7461791,ALS,CT,Blood,bulk_rna
46,GSM1252704,HD,CT,Blood,bulk_rna
47,GSM1252705,HD,CT,Blood,bulk_rna
48,GSM1252706,HD,CT,Blood,bulk_rna
49,GSM1252707,HD,CT,Blood,bulk_rna
50,GSM1252708,HD,CT,Blood,bulk_rna
51,GSM1252709,HD,CT,Blood,bulk_rna
52,GSM1252710,HD,CT,Blood,bulk_rna
53,GSM1252712,HD,CT,Blood,bulk_rna
54,GSM1252713,HD,CT,Blood,bulk_rna
55,GSM1252715,HD,CT,Blood,bulk_rna
56,GSM1252717,HD,CT,Blood,bulk_rna
